	gene_id	unqlen	simple	genename	genetype
IGKJ4	ENSG00000211594.2	37	ENSG00000211594	IGKJ4	IG_J_gene
IGHD3-16	ENSG00000211917.1	37	ENSG00000211917	IGHD3-16	IG_D_gene
IGHVII-46-1	ENSG00000253808.1	37	ENSG00000253808	IGHVII-46-1	IG_V_pseudogene
IGKJ5	ENSG00000211593.2	38	ENSG00000211593	IGKJ5	IG_J_gene
IGKJ3	ENSG00000211595.2	38	ENSG00000211595	IGKJ3	IG_J_gene
IGKJ1	ENSG00000211597.2	38	ENSG00000211597	IGKJ1	IG_J_gene
IGKJ2	ENSG00000211596.3	39	ENSG00000211596	IGKJ2	IG_J_gene
MIR378G	ENSG00000263526.1	41	ENSG00000263526	MIR378G	miRNA
AC137675.1	ENSG00000232167.1	42	ENSG00000232167	AC137675.1	processed_pseudogene
CR383656.10	ENSG00000257825.1	42	ENSG00000257825	CR383656.10	transcribed_processed_pseudogene
AL161669.2	ENSG00000270705.1	42	ENSG00000270705	AL161669.2	processed_pseudogene
RNA5SP157	ENSG00000251816.1	43	ENSG00000251816	RNA5SP157	rRNA
MIR4456	ENSG00000264233.1	43	ENSG00000264233	MIR4456	miRNA
RNA5SP162	ENSG00000251823.2	44	ENSG00000251823	RNA5SP162	rRNA
MIR3713	ENSG00000266449.1	45	ENSG00000266449	MIR3713	miRNA
IGLJ7	ENSG00000211684.2	46	ENSG00000211684	IGLJ7	IG_J_gene
TRBJ2-2P	ENSG00000211766.1	46	ENSG00000211766	TRBJ2-2P	TR_J_gene
IGHJ4	ENSG00000240041.1	46	ENSG00000240041	IGHJ4	IG_J_gene
IGHVII-67-1	ENSG00000253820.1	46	ENSG00000253820	IGHVII-67-1	IG_V_pseudogene
TRBJ2-7	ENSG00000211771.1	47	ENSG00000211771	TRBJ2-7	TR_J_gene
MIR4736	ENSG00000264399.1	47	ENSG00000264399	MIR4736	miRNA
MIR320D1	ENSG00000211491.2	48	ENSG00000211491	MIR320D1	miRNA
TRBJ2-5	ENSG00000211769.1	48	ENSG00000211769	TRBJ2-5	TR_J_gene
TRDJ4	ENSG00000211826.1	48	ENSG00000211826	TRDJ4	TR_J_gene
MIR320D2	ENSG00000221081.1	48	ENSG00000221081	MIR320D2	miRNA
TRBJ2-3	ENSG00000211767.1	49	ENSG00000211767	TRBJ2-3	TR_J_gene
IGHJ5	ENSG00000242472.1	49	ENSG00000242472	IGHJ5	IG_J_gene
IGHJ3	ENSG00000242887.1	49	ENSG00000242887	IGHJ3	IG_J_gene
MIR6087	ENSG00000275110.1	49	ENSG00000275110	MIR6087	miRNA
TRGJ2	ENSG00000211687.1	50	ENSG00000211687	TRGJ2	TR_J_gene
TRGJ1	ENSG00000211690.1	50	ENSG00000211690	TRGJ1	TR_J_gene
TRBJ2-1	ENSG00000211764.1	50	ENSG00000211764	TRBJ2-1	TR_J_gene
TRBJ2-4	ENSG00000211768.1	50	ENSG00000211768	TRBJ2-4	TR_J_gene
MIR320C2	ENSG00000212051.1	50	ENSG00000212051	MIR320C2	miRNA
IGHJ3P	ENSG00000237111.1	50	ENSG00000237111	IGHJ3P	IG_J_pseudogene
RNA5SP253	ENSG00000252029.1	50	ENSG00000252029	RNA5SP253	rRNA
RNU5D-2P	ENSG00000252521.1	50	ENSG00000252521	RNU5D-2P	snRNA
RNA5SP254	ENSG00000252535.1	50	ENSG00000252535	RNA5SP254	rRNA
RNA5SP342	ENSG00000252902.1	50	ENSG00000252902	RNA5SP342	rRNA
MIR1268B	ENSG00000265561.2	50	ENSG00000265561	MIR1268B	miRNA
TRBJ2-2	ENSG00000211765.1	51	ENSG00000211765	TRBJ2-2	TR_J_gene
TRDJ1	ENSG00000211825.1	51	ENSG00000211825	TRDJ1	TR_J_gene
AC140725.2	ENSG00000259646.1	51	ENSG00000259646	AC140725.2	unprocessed_pseudogene
MIR4532	ENSG00000263453.1	51	ENSG00000263453	MIR4532	miRNA
MIR4718	ENSG00000264733.1	51	ENSG00000264733	MIR4718	miRNA
MIR6088	ENSG00000275726.1	51	ENSG00000275726	MIR6088	miRNA
TRAJ14	ENSG00000211875.1	52	ENSG00000211875	TRAJ14	TR_J_gene
IGHJ2	ENSG00000211904.2	52	ENSG00000211904	IGHJ2	IG_J_gene
IGHJ1	ENSG00000211905.1	52	ENSG00000211905	IGHJ1	IG_J_gene
MIR1268A	ENSG00000221641.1	52	ENSG00000221641	MIR1268A	miRNA
MIR1976	ENSG00000238705.1	52	ENSG00000238705	MIR1976	miRNA
AP000676.1	ENSG00000254794.1	52	ENSG00000254794	AP000676.1	processed_pseudogene
MIR4507	ENSG00000264024.2	52	ENSG00000264024	MIR4507	miRNA
MIR3201	ENSG00000266508.1	52	ENSG00000266508	MIR3201	miRNA
MIR7160	ENSG00000273593.1	52	ENSG00000273593	MIR7160	miRNA
MIR320E	ENSG00000211513.5	53	ENSG00000211513	MIR320E	miRNA
TRBJ2-6	ENSG00000211770.1	53	ENSG00000211770	TRBJ2-6	TR_J_gene
HLA-S	ENSG00000225851.1	53	ENSG00000225851	HLA-S	unprocessed_pseudogene
RNU7-151P	ENSG00000252739.1	53	ENSG00000252739	RNU7-151P	snRNA
MIR1587	ENSG00000263972.1	53	ENSG00000263972	MIR1587	miRNA
MIR4443	ENSG00000265483.1	53	ENSG00000265483	MIR4443	miRNA
MIR5587	ENSG00000266124.1	53	ENSG00000266124	MIR5587	miRNA
MIR7641-2	ENSG00000280494.2	53	ENSG00000280494	MIR7641-2	miRNA
TRDJ2	ENSG00000211827.1	54	ENSG00000211827	TRDJ2	TR_J_gene
TRAJ59	ENSG00000211832.2	54	ENSG00000211832	TRAJ59	TR_J_gene
TRAJ43	ENSG00000211846.1	54	ENSG00000211846	TRAJ43	TR_J_gene
RNU6-523P	ENSG00000252113.2	54	ENSG00000252113	RNU6-523P	snRNA
AC011904.1	ENSG00000260445.1	54	ENSG00000260445	AC011904.1	unprocessed_pseudogene
MIR4747	ENSG00000263409.1	54	ENSG00000263409	MIR4747	miRNA
MIR378D1	ENSG00000263631.1	54	ENSG00000263631	MIR378D1	miRNA
MIR5590	ENSG00000263783.1	54	ENSG00000263783	MIR5590	miRNA
MIR4262	ENSG00000265172.1	54	ENSG00000265172	MIR4262	miRNA
MIR4634	ENSG00000266890.1	54	ENSG00000266890	MIR4634	miRNA
MIR4466	ENSG00000271899.1	54	ENSG00000271899	MIR4466	miRNA
MIR7152	ENSG00000274824.1	54	ENSG00000274824	MIR7152	miRNA
TRAJ21	ENSG00000211868.1	55	ENSG00000211868	TRAJ21	TR_J_gene
IGHJ1P	ENSG00000227335.1	55	ENSG00000227335	IGHJ1P	IG_J_pseudogene
RNU7-115P	ENSG00000252242.1	55	ENSG00000252242	RNU7-115P	snRNA
MIR3193	ENSG00000264395.1	55	ENSG00000264395	MIR3193	miRNA
MIR4540	ENSG00000264922.1	55	ENSG00000264922	MIR4540	miRNA
MIR3929	ENSG00000265641.1	55	ENSG00000265641	MIR3929	miRNA
MIR4266	ENSG00000265965.1	55	ENSG00000265965	MIR4266	miRNA
SNOZ6	ENSG00000266692.1	55	ENSG00000266692	SNOZ6	snoRNA
MIR4727	ENSG00000274054.1	55	ENSG00000274054	MIR4727	miRNA
MIR5787	ENSG00000275334.1	55	ENSG00000275334	MIR5787	miRNA
TRAJ49	ENSG00000211840.1	56	ENSG00000211840	TRAJ49	TR_J_gene
MIR548BA	ENSG00000212036.3	56	ENSG00000212036	MIR548BA	miRNA
MIR921	ENSG00000215952.1	56	ENSG00000215952	MIR921	miRNA
MIR4710	ENSG00000265291.1	56	ENSG00000265291	MIR4710	miRNA
MIR4530	ENSG00000266559.1	56	ENSG00000266559	MIR4530	miRNA
MIR6813	ENSG00000274034.1	56	ENSG00000274034	MIR6813	miRNA
MIR6871	ENSG00000276169.1	56	ENSG00000276169	MIR6871	miRNA
MIR7856	ENSG00000278281.1	56	ENSG00000278281	MIR7856	miRNA
MIR7155	ENSG00000278359.1	56	ENSG00000278359	MIR7155	miRNA
TRAJ47	ENSG00000211842.1	57	ENSG00000211842	TRAJ47	TR_J_gene
TRAJ33	ENSG00000211856.1	57	ENSG00000211856	TRAJ33	TR_J_gene
TRAJ31	ENSG00000211858.1	57	ENSG00000211858	TRAJ31	TR_J_gene
TRAJ30	ENSG00000211859.1	57	ENSG00000211859	TRAJ30	TR_J_gene
TRAJ20	ENSG00000211869.1	57	ENSG00000211869	TRAJ20	TR_J_gene
MIR1471	ENSG00000222246.1	57	ENSG00000222246	MIR1471	miRNA
TRAJ60	ENSG00000249446.2	57	ENSG00000249446	TRAJ60	TR_J_pseudogene
TRAJ55	ENSG00000250688.1	57	ENSG00000250688	TRAJ55	TR_J_pseudogene
SNORA31	ENSG00000253041.1	57	ENSG00000253041	SNORA31	snoRNA
MIR378B	ENSG00000264534.3	57	ENSG00000264534	MIR378B	miRNA
MIR548AR	ENSG00000264539.1	57	ENSG00000264539	MIR548AR	miRNA
MIR4310	ENSG00000264850.1	57	ENSG00000264850	MIR4310	miRNA
MIR548AK	ENSG00000265653.1	57	ENSG00000265653	MIR548AK	miRNA
MIR4514	ENSG00000265855.1	57	ENSG00000265855	MIR4514	miRNA
MASCRNA-MENRNA	ENSG00000274072.1	57	ENSG00000274072	MASCRNA-MENRNA	sRNA
MIR6515	ENSG00000274417.1	57	ENSG00000274417	MIR6515	miRNA
HOTTIP_1	ENSG00000276609.1	57	ENSG00000276609	HOTTIP_1	misc_RNA
MIR6894	ENSG00000277474.1	57	ENSG00000277474	MIR6894	miRNA
TRAJ34	ENSG00000211855.1	58	ENSG00000211855	TRAJ34	TR_J_gene
SNORD75	ENSG00000221711.1	58	ENSG00000221711	SNORD75	snoRNA
IGHVII-40-1	ENSG00000253294.1	58	ENSG00000253294	IGHVII-40-1	IG_V_pseudogene
AC068228.3	ENSG00000253410.1	58	ENSG00000253410	AC068228.3	transcribed_processed_pseudogene
MIR4455	ENSG00000263458.1	58	ENSG00000263458	MIR4455	miRNA
MIR548AS	ENSG00000263741.1	58	ENSG00000263741	MIR548AS	miRNA
MIR4462	ENSG00000263926.1	58	ENSG00000263926	MIR4462	miRNA
MIR3928	ENSG00000264141.1	58	ENSG00000264141	MIR3928	miRNA
MIR548AT	ENSG00000264314.1	58	ENSG00000264314	MIR548AT	miRNA
MIR4770	ENSG00000265284.1	58	ENSG00000265284	MIR4770	miRNA
MIR4261	ENSG00000265418.1	58	ENSG00000265418	MIR4261	miRNA
MIR548AQ	ENSG00000265470.1	58	ENSG00000265470	MIR548AQ	miRNA
MIR4519	ENSG00000265991.1	58	ENSG00000265991	MIR4519	miRNA
MIR4279	ENSG00000266243.1	58	ENSG00000266243	MIR4279	miRNA
MIR5580	ENSG00000266431.1	58	ENSG00000266431	MIR5580	miRNA
MIR5579	ENSG00000266570.1	58	ENSG00000266570	MIR5579	miRNA
DLEU2_4	ENSG00000273612.1	58	ENSG00000273612	DLEU2_4	misc_RNA
MIR4726	ENSG00000273627.1	58	ENSG00000273627	MIR4726	miRNA
MIR6868	ENSG00000275360.1	58	ENSG00000275360	MIR6868	miRNA
TRAJ36	ENSG00000276699.1	58	ENSG00000276699	TRAJ36	TR_J_gene
AL627230.5	ENSG00000277208.1	58	ENSG00000277208	AL627230.5	unprocessed_pseudogene
MIR6811	ENSG00000277842.1	58	ENSG00000277842	MIR6811	miRNA
TRDJ3	ENSG00000211828.1	59	ENSG00000211828	TRDJ3	TR_J_gene
TRAJ35	ENSG00000211854.1	59	ENSG00000211854	TRAJ35	TR_J_gene
TRAJ27	ENSG00000211862.1	59	ENSG00000211862	TRAJ27	TR_J_gene
TRAJ7	ENSG00000211882.1	59	ENSG00000211882	TRAJ7	TR_J_gene
SNORD115	ENSG00000212428.1	59	ENSG00000212428	SNORD115	snoRNA
AL353691.2	ENSG00000237875.1	59	ENSG00000237875	AL353691.2	processed_pseudogene
RNU7-174P	ENSG00000252057.2	59	ENSG00000252057	RNU7-174P	snRNA
RNU7-149P	ENSG00000252548.1	59	ENSG00000252548	RNU7-149P	snRNA
MIR4673	ENSG00000263403.1	59	ENSG00000263403	MIR4673	miRNA
MIR5586	ENSG00000263629.1	59	ENSG00000263629	MIR5586	miRNA
MIR5692A2	ENSG00000264512.2	59	ENSG00000264512	MIR5692A2	miRNA
MIR4326	ENSG00000266104.1	59	ENSG00000266104	MIR4326	miRNA
MIR5583-1	ENSG00000266148.1	59	ENSG00000266148	MIR5583-1	miRNA
MIR5585	ENSG00000266203.1	59	ENSG00000266203	MIR5585	miRNA
MIR4535	ENSG00000266887.1	59	ENSG00000266887	MIR4535	miRNA
MIR6776	ENSG00000273606.1	59	ENSG00000273606	MIR6776	miRNA
MIR7702	ENSG00000274263.1	59	ENSG00000274263	MIR7702	miRNA
MIR6889	ENSG00000274552.1	59	ENSG00000274552	MIR6889	miRNA
HOTAIRM1_3	ENSG00000274864.1	59	ENSG00000274864	HOTAIRM1_3	misc_RNA
AC245884.12	ENSG00000276758.1	59	ENSG00000276758	AC245884.12	unprocessed_pseudogene
MIR6827	ENSG00000277723.1	59	ENSG00000277723	MIR6827	miRNA
MIR6736	ENSG00000278549.1	59	ENSG00000278549	MIR6736	miRNA
TRGJP2	ENSG00000211688.1	60	ENSG00000211688	TRGJP2	TR_J_gene
TRGJP1	ENSG00000211692.1	60	ENSG00000211692	TRGJP1	TR_J_gene
TRAJ61	ENSG00000211831.2	60	ENSG00000211831	TRAJ61	TR_J_gene
TRAJ54	ENSG00000211836.1	60	ENSG00000211836	TRAJ54	TR_J_gene
TRAJ50	ENSG00000211839.1	60	ENSG00000211839	TRAJ50	TR_J_gene
TRAJ29	ENSG00000211860.1	60	ENSG00000211860	TRAJ29	TR_J_gene
TRAJ26	ENSG00000211863.1	60	ENSG00000211863	TRAJ26	TR_J_gene
TRAJ25	ENSG00000211864.2	60	ENSG00000211864	TRAJ25	TR_J_gene
TRAJ19	ENSG00000211870.1	60	ENSG00000211870	TRAJ19	TR_J_gene
TRAJ16	ENSG00000211873.1	60	ENSG00000211873	TRAJ16	TR_J_gene
TRAJ12	ENSG00000211877.1	60	ENSG00000211877	TRAJ12	TR_J_gene
TRAJ11	ENSG00000211878.1	60	ENSG00000211878	TRAJ11	TR_J_gene
TRAJ8	ENSG00000211881.1	60	ENSG00000211881	TRAJ8	TR_J_pseudogene
TRAJ5	ENSG00000211884.1	60	ENSG00000211884	TRAJ5	TR_J_gene
AC117490.1	ENSG00000225240.1	60	ENSG00000225240	AC117490.1	unprocessed_pseudogene
AL161935.2	ENSG00000231855.1	60	ENSG00000231855	AL161935.2	unprocessed_pseudogene
IGHJ2P	ENSG00000237547.1	60	ENSG00000237547	IGHJ2P	IG_J_pseudogene
RNU7-140P	ENSG00000238364.1	60	ENSG00000238364	RNU7-140P	snRNA
RNU7-57P	ENSG00000238365.3	60	ENSG00000238365	RNU7-57P	snRNA
RNU7-103P	ENSG00000238370.1	60	ENSG00000238370	RNU7-103P	snRNA
RNU7-165P	ENSG00000238380.1	60	ENSG00000238380	RNU7-165P	snRNA
RNU7-38P	ENSG00000238446.1	60	ENSG00000238446	RNU7-38P	snRNA
RNU7-185P	ENSG00000239102.1	60	ENSG00000239102	RNU7-185P	snRNA
RNU7-37P	ENSG00000251707.2	60	ENSG00000251707	RNU7-37P	snRNA
RNU7-123P	ENSG00000251720.1	60	ENSG00000251720	RNU7-123P	snRNA
RNU7-71P	ENSG00000251868.1	60	ENSG00000251868	RNU7-71P	snRNA
RNU6-70P	ENSG00000252247.2	60	ENSG00000252247	RNU6-70P	snRNA
RNU7-53P	ENSG00000252514.1	60	ENSG00000252514	RNU7-53P	snRNA
RNU6-1183P	ENSG00000252863.1	60	ENSG00000252863	RNU6-1183P	snRNA
RNU7-77P	ENSG00000253054.1	60	ENSG00000253054	RNU7-77P	snRNA
MIR5584	ENSG00000263381.1	60	ENSG00000263381	MIR5584	miRNA
MIR5581	ENSG00000263675.1	60	ENSG00000263675	MIR5581	miRNA
MIR3650	ENSG00000265304.1	60	ENSG00000265304	MIR3650	miRNA
MIR4539	ENSG00000265612.1	60	ENSG00000265612	MIR4539	miRNA
MIR4690	ENSG00000266041.1	60	ENSG00000266041	MIR4690	miRNA
MIR5589	ENSG00000266204.1	60	ENSG00000266204	MIR5589	miRNA
MIR3677	ENSG00000266643.1	60	ENSG00000266643	MIR3677	miRNA
MIR4437	ENSG00000266705.1	60	ENSG00000266705	MIR4437	miRNA
MIR548H5	ENSG00000266807.1	60	ENSG00000266807	MIR548H5	miRNA
MIR6870	ENSG00000273745.1	60	ENSG00000273745	MIR6870	miRNA
MIR6771	ENSG00000274969.1	60	ENSG00000274969	MIR6771	miRNA
MIR6770-3	ENSG00000275391.1	60	ENSG00000275391	MIR6770-3	miRNA
MIR6508	ENSG00000275523.1	60	ENSG00000275523	MIR6508	miRNA
U7	ENSG00000275635.1	60	ENSG00000275635	U7	snRNA
MIR6068	ENSG00000275836.1	60	ENSG00000275836	MIR6068	miRNA
MIR7156	ENSG00000276081.1	60	ENSG00000276081	MIR7156	miRNA
MIR6090	ENSG00000276176.1	60	ENSG00000276176	MIR6090	miRNA
MIR7151	ENSG00000276866.1	60	ENSG00000276866	MIR7151	miRNA
MIR6770-2	ENSG00000277698.1	60	ENSG00000277698	MIR6770-2	miRNA
MIR6846	ENSG00000277888.1	60	ENSG00000277888	MIR6846	miRNA
MIR6770-1	ENSG00000278265.1	60	ENSG00000278265	MIR6770-1	miRNA
MIR380	ENSG00000198982.4	61	ENSG00000198982	MIR380	miRNA
SNORD44	ENSG00000200072.1	61	ENSG00000200072	SNORD44	snoRNA
MIR520B	ENSG00000207722.1	61	ENSG00000207722	MIR520B	miRNA
TRGJP	ENSG00000211691.2	61	ENSG00000211691	TRGJP	TR_J_gene
TRAJ40	ENSG00000211849.1	61	ENSG00000211849	TRAJ40	TR_J_gene
TRAJ9	ENSG00000211880.1	61	ENSG00000211880	TRAJ9	TR_J_gene
IGHJ6	ENSG00000211900.2	61	ENSG00000211900	IGHJ6	IG_J_gene
MIR1537	ENSG00000222831.1	61	ENSG00000222831	MIR1537	miRNA
MIR1538	ENSG00000223109.1	61	ENSG00000223109	MIR1538	miRNA
RNU7-169P	ENSG00000238457.1	61	ENSG00000238457	RNU7-169P	snRNA
RNU7-107P	ENSG00000238523.1	61	ENSG00000238523	RNU7-107P	snRNA
RNU7-93P	ENSG00000238540.1	61	ENSG00000238540	RNU7-93P	snRNA
RNU7-80P	ENSG00000238778.1	61	ENSG00000238778	RNU7-80P	snRNA
RNU7-59P	ENSG00000238880.1	61	ENSG00000238880	RNU7-59P	snRNA
RNU7-170P	ENSG00000239082.1	61	ENSG00000239082	RNU7-170P	snRNA
RNU7-190P	ENSG00000239185.1	61	ENSG00000239185	RNU7-190P	snRNA
RNU7-61P	ENSG00000251706.1	61	ENSG00000251706	RNU7-61P	snRNA
RNU7-175P	ENSG00000251724.1	61	ENSG00000251724	RNU7-175P	snRNA
RNU7-41P	ENSG00000251726.1	61	ENSG00000251726	RNU7-41P	snRNA
RNU7-192P	ENSG00000252275.1	61	ENSG00000252275	RNU7-192P	snRNA
RNU7-22P	ENSG00000252482.1	61	ENSG00000252482	RNU7-22P	snRNA
RNU6-180P	ENSG00000252506.1	61	ENSG00000252506	RNU6-180P	snRNA
RNU6-201P	ENSG00000252909.1	61	ENSG00000252909	RNU6-201P	snRNA
MIR4632	ENSG00000263676.1	61	ENSG00000263676	MIR4632	miRNA
MIR3687-2	ENSG00000264063.1	61	ENSG00000264063	MIR3687-2	miRNA
MIR3141	ENSG00000264760.1	61	ENSG00000264760	MIR3141	miRNA
MIR4749	ENSG00000265954.1	61	ENSG00000265954	MIR4749	miRNA
MIR4475	ENSG00000266255.1	61	ENSG00000266255	MIR4475	miRNA
MIR1470	ENSG00000269782.1	61	ENSG00000269782	MIR1470	miRNA
MIR6504	ENSG00000275109.1	61	ENSG00000275109	MIR6504	miRNA
MIR6815	ENSG00000275167.1	61	ENSG00000275167	MIR6815	miRNA
MIR6747	ENSG00000276102.1	61	ENSG00000276102	MIR6747	miRNA
MIR6833	ENSG00000277264.1	61	ENSG00000277264	MIR6833	miRNA
MIR3687-1	ENSG00000277437.1	61	ENSG00000277437	MIR3687-1	miRNA
MIR6726	ENSG00000278073.1	61	ENSG00000278073	MIR6726	miRNA
MIR6819	ENSG00000278420.1	61	ENSG00000278420	MIR6819	miRNA
AL355301.1	ENSG00000278752.1	61	ENSG00000278752	AL355301.1	misc_RNA
MIR6823	ENSG00000278799.1	61	ENSG00000278799	MIR6823	miRNA
MIR7641-1	ENSG00000280773.2	61	ENSG00000280773	MIR7641-1	miRNA
TRAJ56	ENSG00000211835.1	62	ENSG00000211835	TRAJ56	TR_J_gene
TRAJ41	ENSG00000211848.1	62	ENSG00000211848	TRAJ41	TR_J_gene
TRAJ38	ENSG00000211851.1	62	ENSG00000211851	TRAJ38	TR_J_gene
TRAJ6	ENSG00000211883.1	62	ENSG00000211883	TRAJ6	TR_J_gene
TRAJ3	ENSG00000211886.1	62	ENSG00000211886	TRAJ3	TR_J_gene
TRAJ1	ENSG00000211888.2	62	ENSG00000211888	TRAJ1	TR_J_gene
RN7SKP223	ENSG00000222514.1	62	ENSG00000222514	RN7SKP223	misc_RNA
RNU7-50P	ENSG00000238304.1	62	ENSG00000238304	RNU7-50P	snRNA
RNU7-148P	ENSG00000238357.1	62	ENSG00000238357	RNU7-148P	snRNA
RNU7-171P	ENSG00000238406.1	62	ENSG00000238406	RNU7-171P	snRNA
RNU7-63P	ENSG00000238417.1	62	ENSG00000238417	RNU7-63P	snRNA
RNU7-130P	ENSG00000238441.1	62	ENSG00000238441	RNU7-130P	snRNA
RNU7-14P	ENSG00000238468.1	62	ENSG00000238468	RNU7-14P	snRNA
RNU7-87P	ENSG00000238500.1	62	ENSG00000238500	RNU7-87P	snRNA
RNU7-21P	ENSG00000238558.1	62	ENSG00000238558	RNU7-21P	snRNA
RNU7-159P	ENSG00000238562.1	62	ENSG00000238562	RNU7-159P	snRNA
RNU7-167P	ENSG00000238584.1	62	ENSG00000238584	RNU7-167P	snRNA
RNU7-54P	ENSG00000238590.1	62	ENSG00000238590	RNU7-54P	snRNA
RNU7-7P	ENSG00000238606.1	62	ENSG00000238606	RNU7-7P	snRNA
RNU7-126P	ENSG00000238632.1	62	ENSG00000238632	RNU7-126P	snRNA
RNU7-62P	ENSG00000238653.1	62	ENSG00000238653	RNU7-62P	snRNA
RNU7-147P	ENSG00000238698.1	62	ENSG00000238698	RNU7-147P	snRNA
RNU7-97P	ENSG00000238704.1	62	ENSG00000238704	RNU7-97P	snRNA
RNU7-56P	ENSG00000238709.1	62	ENSG00000238709	RNU7-56P	snRNA
RNU7-164P	ENSG00000238730.1	62	ENSG00000238730	RNU7-164P	snRNA
RNU7-90P	ENSG00000238731.1	62	ENSG00000238731	RNU7-90P	snRNA
RNU7-113P	ENSG00000238735.1	62	ENSG00000238735	RNU7-113P	snRNA
RNU7-27P	ENSG00000238750.1	62	ENSG00000238750	RNU7-27P	snRNA
RNU7-141P	ENSG00000238777.1	62	ENSG00000238777	RNU7-141P	snRNA
RNU7-9P	ENSG00000238782.1	62	ENSG00000238782	RNU7-9P	snRNA
RNU7-182P	ENSG00000238788.1	62	ENSG00000238788	RNU7-182P	snRNA
RNU7-102P	ENSG00000238808.1	62	ENSG00000238808	RNU7-102P	snRNA
RNU7-127P	ENSG00000238812.1	62	ENSG00000238812	RNU7-127P	snRNA
RNU7-46P	ENSG00000238830.1	62	ENSG00000238830	RNU7-46P	snRNA
